"STAID","max90","DRAIN_SQKM","PPTAVG_BASIN","T_AVG_BASIN","T_AVG_SITE","RH_BASIN","MAR_PPT7100_CM","RRMEDIAN"
"01013500",12440,2252.696,97.4178,3.00467,3,71.67319,6.317267,0.214765100671141
"01022500",6343,573.6006,120.0702,5.945692,6.3,68.82603,10.67501,0.162037037037037
"01030500",23680,3676.172,108.1906,4.81517,5.4,69.6034,8.69403,0.138599105812221
"01031500",12200,769.0482,118.0008,4.143458,4.9,68.47412,9.538659,0.284875183553598
"01047000",14730,909.0972,118.8615,3.990672,5.6,68.73347,9.503299,0.201850294365013
"01052500",6161,383.8234,119.2887,2.736979,3.7,68.01348,8.681308,0.360448807854137
"01055000",6030,250.641,135.1456,3.805401,4.9,69.22279,11.2685,0.408333333333333
"01057000",2647,190.9188,108.3276,5.876136,6.1,67.14903,8.722023,0.213559322033898
"01073000",501.1,31.2984,112.1979,8.19605,8.3,71.04269,9.37407,0.354838709677419
"01078000",2415,222.4566,112.4363,6.165008,6.5,67.88107,8.37516,0.280334728033473
"01121000",1226,70.25372,128.4395,8.520348,8.8,66,10.93516,0.338129496402878
"01123000",1205,77.85271,129.6578,8.821647,9.3,66.01418,11.46909,0.482758620689655
"01134500",2557,195.1299,119.3264,4.524818,4.6,67.6162,8.705332,0.281073446327684
"01137500",3989,228.5543,139.1986,4.08294,5.6,72.82279,10.94517,0.217054263565891
"01139000",2060,246.3333,109.6005,4.98773,5.7,66.66979,7.66736,0.296590909090909
"01162500",539.4,49.70559,120.881,6.675987,7,65.56186,10.04006,0.26007326007326
"01169000",4947,230.6412,131.4055,6.596874,7.3,66.91585,11.05839,0.56020942408377
"01181000",5803,243.495,143.5082,7.326162,7.5,65.77928,11.90801,0.584670231729055
"01187300",1041,53.919,134.8062,7.142975,7.6,66.55692,11.34595,0.673846153846154
"01188000",289.1,10.6235,135.677,8.243988,8.3,66,11.68978,0.371900826446281
"01193500",4407,271.2563,130.3654,9.044242,9.5,65.9826,11.2834,0.505928853754941
"01333000",1353,112.1643,122.7237,6.482723,7.2,68.05445,9.027956,0.305841924398625
"01350000",14810,612.5148,119.0389,5.659544,6,67.99306,9.815281,0.307344632768362
"01365000",2062,99.5688,137.9844,5.865521,6.8,69.5207,11.12637,0.401540154015402
"01413500",7343,424.1025,114.7521,5.907743,6.6,67.20383,9.10078,0.313299232736573
"01414500",1365,64.4517,117.4579,5.841807,6.7,67.91653,8.698228,0.422192151556157
"01415000",1311,85.6287,112.8618,6.510176,6.9,66.67647,8.273298,0.33974358974359
"01423000",13420,859.6809,112.0129,6.641285,7.2,66.24412,8.436639,0.359208523592085
"01435000",4704,172.458,152.0154,5.161072,6.9,69.56593,12.46028,0.358040201005025
"01439500",3181,305.8776,121.6551,8.031333,9.4,66.18879,9.543162,0.537832310838446
"01466500",16.03,5.376711,118.4312,11.80042,11.8,68,10.64264,0.333333333333333
"01485500",1204,141.5394,116.3787,13.43501,13.5,71.04999,11.57881,0.409090909090909
"01487000",1313,187.4102,114.8779,13.07932,13,66.64386,10.71637,0.45
"01491000",4125,292.0401,113.4321,13.1103,13.2,65.47569,10.42126,0.4375
"01516500",647.6,31.4838,93.81938,7.591287,7.7,68.50046,6.950989,0.316568047337278
"01532000",13970,553.941,99.94772,7.733258,8.2,67.74954,7.651505,0.450980392156863
"01539000",10640,701.7795,117.1409,8.326091,9.2,68.13804,8.858447,0.301948051948052
"01543000",11040,705.4974,110.3218,7.756742,8.5,66.49336,8.376516,0.567226890756303
"01543500",21220,1778.258,109.5989,7.93272,8.6,66.97493,8.495707,0.580896686159844
"01544500",5562,355.0644,106.3449,7.229384,8.1,66.68005,8.713106,0.621076233183857
"01547700",1689,113.5386,104.8541,9.04676,9.7,68.06128,8.457733,0.396728016359918
"01548500",17320,1557.047,97.36469,6.983543,7.9,67.09155,7.608698,0.60655737704918
"01549500",1553,97.4853,102.7028,7.364868,7.7,67.04239,8.240661,0.548628428927681
"01550000",8245,452.6757,102.2657,7.548449,8.2,68.29353,8.0015,0.642718446601942
"01552500",1404,60.6384,122.8454,6.820648,7,70.00086,9.051475,0.584507042253521
"01557500",1427,115.2963,108.0953,8.44298,9,68.86195,8.764538,0.369781312127237
"01564500",7661,445.5612,103.0501,10.27403,10.5,66.77577,8.647571,0.252688172043011
"01567500",797.2,38.7729,107.8419,10.5965,10.7,66.55212,8.887653,0.167848699763593
"01568000",8451,534.3948,109.3261,10.58715,10.9,66.29841,9.027189,0.240574506283662
"01580000",2900,244.3698,114.6149,11.18908,11.8,66.87395,9.977434,0.469879518072289
"01583500",2011,155.8494,114.6849,11.63104,12,66.84939,10.13165,0.466666666666667
"01596500",1602,124.6505,112.7016,8.282637,8.8,72.9932,9.238054,0.643356643356643
"01620500",1074,44.74026,115.1403,9.033559,9.9,72.65461,10.55915,0.490483162518302
"01632000",8995,543.357,100.0233,10.37064,11.6,70.67438,8.189158,0.280973451327434
"01634500",4206,263.9817,101.9721,10.90523,11.8,67.47713,9.035344,0.199192462987887
"01639500",3627,267.1785,110.2315,11.27804,11.2,66.601,9.474063,0.4
"01644000",12010,859.1698,108.2739,12.21257,12.5,68.43816,9.089467,0.147208121827411
"01658500",395.2,19.34224,109.948,13.02113,13.1,67,9.800313,0.6
"01664000",20250,1605.101,113.5911,11.93564,12.8,67.0758,9.236734,0.090017825311943
"01666500",9747,463.1463,117.1265,12.17841,13.1,67.61593,9.690878,0.0804195804195804
"01667500",14530,1209.747,118.5489,12.24489,13.2,67.95768,9.83206,0.0913006029285099
"01669000",577.9,71.84071,112.6281,14.03339,14.1,67,10.69163,0.609375
"02013000",6469,424.7766,105.3906,10.80418,12.2,68.28271,9.61855,0.405511811023622
"02016000",14350,1194.551,106.392,10.73389,13,69.80057,9.510682,0.3291015625
"02017500",3388,276.1497,109.8359,10.44883,11.8,68.25829,10.14173,0.286320254506893
"02018000",11120,852.3431,108.916,11.0169,12.8,67.48819,10.07841,0.298142717497556
"02027000",5083,240.7671,131.4957,11.22869,13.1,68.06585,11.21245,0.306238185255198
"02027500",2360,123.3423,139.9019,11.03595,13,68.44095,12.16809,0.425818882466281
"02028500",3942,245.4534,122.8401,11.83719,12.7,67.70068,10.58201,0.252100840336134
"02046000",4095,288.5238,115.7129,13.83328,14.1,66.55023,11.00999,0.510416666666667
"02051500",13670,1428.706,115.5493,13.78144,14.1,66,10.74,0.488235294117647
"02055100",452.2,30.5352,106.101,12.41521,12.4,66.12055,9.653783,0.143222506393862
"02059500",6375,485.4078,114.9123,13.13042,13.4,66.18979,10.2021,0.175412293853073
"02065500",3439,252.5787,115.1625,13.17009,13.3,66,10.62526,0.478527607361963
"02070000",3564,270.6084,124.7399,13.04129,13.4,67.19128,11.5158,0.133228840125392
"02074500",6369,288.531,117.2974,13.49571,14,66.1823,11.12091,0.4739336492891
"02081500",7230,428.3661,118.9024,14.39225,14.5,67.95388,11.46299,0.470588235294118
"02110500",11200,2908.315,133.2955,16.59521,16.8,68.41487,11.19192,0.368421052631579
"02111500",2697,233.6607,129.8823,12.27969,13.2,68.71481,12.90522,0.274725274725275
"02118500",5646,400.527,125.6088,13.59172,14.3,67.34813,12.11476,0.239669421487603
"02128000",4999,273.4758,120.2656,15.38514,15.5,67.72329,11.37112,0.446327683615819
"02149000",2590,203.8527,146.6517,14.48683,15.4,71.01322,14.76106,0.184431137724551
"02177000",8604,526.7736,194.4027,12.54844,14,71.12728,19.70804,0.345356176735798
"02231000",14210,1748.368,134.5052,19.74278,19.7,72.08264,11.48368,0.545454545454545
"02245500",5768,348.4345,133.1286,20.17463,20.2,73.34311,10.90946,0.367647058823529
"02246000",8440,451.0611,133.9774,19.87718,20,73.15458,11.01618,0.333333333333333
"02296500",5350,886.3965,128.8483,22.50022,22.5,71.50175,8.126667,0.395833333333333
"02314500",8760,3322.154,130.3111,19.30905,19.5,71.9883,11.70948,0.272727272727273
"02315500",17670,6136.255,131.6984,19.43726,20.1,72.08251,12.00012,0.428571428571429
"02324000",4820,791.0239,143.5703,20.04999,20.1,73,12.26088,0.386363636363636
"02324400",788.4,176.2654,142.2115,20.09568,20.2,73,13.20368,0.366666666666667
"02326000",1410,556.4121,142.6003,19.98549,20.1,73.06136,13.76743,0.392857142857143
"02361000",17450,1781.611,142.2279,18.28252,18.6,71.25282,16.3371,0.472972972972973
"02374500",5759,445.7151,158.743,18.09465,18.1,70.16145,17.84275,0.441666666666667
"02467500",17140,1574.118,144.7791,17.21771,17.3,72.35785,16.51525,0.355828220858896
"02472000",29340,1927.134,152.088,17.70828,18.2,73.02989,16.66209,0.438461538461538
"02472500",13510,789.9363,154.2749,18.15763,18.3,72.66047,16.44439,0.474576271186441
"03015500",9710,784.8513,115.4079,7.932723,8,69.02537,8.466938,0.526970954356846
"03026500",346.8,20.3058,121.2006,6.794456,6.9,66.30693,9.558207,0.710843373493976
"03028000",2343,161.1102,118.8948,6.620263,6.9,67.20657,9.327668,0.6
"03066000",3760,222.7851,141.5072,8.049818,8,75.19946,11.80748,0.171284634760705
"03069500",28500,1856.853,139.1415,8.286138,9.8,77.31652,11.92531,0.519558676028084
"03070500",8084,517.3794,126.5897,8.910843,9.4,72.09576,10.427,0.341463414634146
"03078000",2241,161.4825,120.5872,8.154755,8.2,73.89075,10.33273,0.532203389830509
"03140000",1034,70.3458,98.20421,9.88621,10,69.55124,7.569583,0.455128205128205
"03144000",6839,363.4146,102.2293,9.854699,10.3,68,7.790711,0.513698630136986
"03164000",27740,2952.736,127.3392,10.40944,11.3,71.48047,12.20452,0.236059479553903
"03165000",1491,101.9961,126.8159,11.25677,11.3,69.87908,11.87153,0.243016759776536
"03170000",8098,794.6403,114.8916,10.56301,11.3,67.81319,10.58798,0.390384615384615
"03173000",8274,773.3151,103.5051,10.56833,11.7,71.90044,9.447301,0.3601108033241
"03180500",6037,345.0564,129.9322,8.060445,8.6,77.44417,11.66046,0.400346620450607
"03182500",19750,1364.974,123.2635,8.56408,8.9,73.52042,11.24495,0.336104513064133
"03186500",6865,329.6805,150.4499,8.685387,10.4,73.81863,13.21203,0.533508541392904
"03241500",2453,170.9145,100.7409,10.44266,10.9,69.28494,7.749368,0.67032967032967
"03281500",34800,1838.22,126.468,12.48219,12.5,68.47119,11.67873,0.302281368821293
"03346000",15070,814.6935,106.7181,11.86449,12,69.42079,9.177629,0.268041237113402
"03364500",4474,237.0879,109.6219,10.91266,11.4,71.54945,9.024723,0.666666666666667
"03366500",20220,755.2151,114.7631,11.91024,12.1,69.67444,10.11158,0.543624161073826
"03455500",2190,72.9522,188.5877,9.816439,10,72.37254,18.63914,0.57590597453477
"03456500",3377,133.4268,169.6863,10.92626,11.3,73.02877,17.22924,0.381937911571025
"03471500",2112,198.1611,123.0831,10.498,11,71.33693,10.95326,0.320827943078913
"03473000",8375,784.8126,124.6274,10.6205,12,70.78104,11.48837,0.284043441938179
"03479000",5519,235.6011,130.4915,10.20849,11,72.23939,12.58267,0.217347956131605
"03488000",8134,578.206,117.1454,10.46064,11,70.76822,10.57855,0.284004352557127
"03498500",14030,696.7582,150.2474,12.80727,14.2,68.86658,14.97753,0.140589569160998
"03500000",4816,361.1439,181.3498,12.32208,13.3,70.07853,19.36935,0.204732510288066
"03504000",2551,134.5167,207.2047,10.83294,10.9,70.27663,20.99295,0.371034482758621
"03574500",24350,813.8025,151.2927,14.41535,15.2,71.37607,16.91671,0.545012165450122
"03604000",29140,1163.026,149.8432,14.03239,14,67.97304,15.89572,0.658959537572254
