Company,Model,Odometer reading,fuel,transmission,owner,mileage,engine,max_power,seats,Price
Lexus,2019.0,20000.0,Petrol,Automatic,First,22.37,2487.0,214.56,5.0,5150000.0
Maruti,2013.0,80000.0,CNG,Manual,Second,32.52,998.0,58.33,5.0,270000.0
Tata,2017.0,70000.0,Diesel,Manual,First,19.09,1405.0,69.01,5.0,450000.0
Ford,2016.0,70000.0,Diesel,Manual,Second,25.83,1498.0,99.0,5.0,350000.0
Maruti,2016.0,81000.0,Diesel,Manual,Second,28.09,1248.0,88.5,5.0,650000.0
Maruti,2010.0,60000.0,Petrol,Manual,Second,17.5,1298.0,85.8,5.0,240000.0
Honda,2017.0,28000.0,Petrol,Manual,First,17.8,1497.0,117.3,5.0,860000.0
Mahindra,2015.0,70000.0,Diesel,Manual,First,15.4,2179.0,120.0,7.0,1100000.0
Renault,2018.0,26000.0,Diesel,Manual,First,19.6,1461.0,108.45,5.0,950000.0
Maruti,2020.0,30000.0,Petrol,Manual,First,22.05,796.0,47.3,5.0,250999.0
Hyundai,2017.0,56290.0,Diesel,Manual,First,24.0,1186.0,73.97,5.0,450000.0
Hyundai,2017.0,25000.0,Petrol,Manual,First,18.9,1197.0,82.0,5.0,550000.0
Volvo,2018.0,2000.0,Diesel,Automatic,First,16.8,1984.0,150.0,5.0,2475000.0
BMW,2017.0,44000.0,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,2600000.0
Hyundai,2013.0,90000.0,Petrol,Manual,First,17.92,1086.0,62.1,5.0,200000.0
Mahindra,2016.0,110000.0,Petrol,Manual,First,18.15,1198.0,82.0,6.0,426000.0
Hyundai,2013.0,65000.0,Petrol,Manual,First,17.92,1086.0,62.1,5.0,180000.0
Mahindra,2011.0,120000.0,Diesel,Manual,Second,12.05,2179.0,120.0,8.0,430000.0
Renault,2018.0,13120.0,Petrol,Manual,First,25.17,799.0,53.3,5.0,390000.0
Skoda,2013.0,60000.0,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,500000.0
Maruti,2009.0,70000.0,Diesel,Manual,First,21.1,1248.0,73.9,5.0,200000.0
Tata,2012.0,120000.0,Diesel,Manual,First,15.42,1405.0,70.0,7.0,250000.0
Maruti,2016.0,43000.0,CNG,Manual,Second,26.6,998.0,58.16,5.0,320000.0
Honda,2017.0,15780.0,Petrol,Manual,First,17.8,1198.0,86.7,5.0,570000.0
Mahindra,2011.0,70000.0,Diesel,Manual,Second,10.5,2609.0,120.0,7.0,441000.0
Maruti,2017.0,40000.0,Petrol,Manual,First,20.85,1197.0,83.14,5.0,595000.0
